Rank,Bib,Name,Gender,Competition,J1,J2,J3,J4,J5,"Canceled
max","Canceled
min",Total
1,1,Antony Jakara,W,Final 1,16,16.3,15.9,16.4,15.6,-16.8,-15.3,48.1
2,7,Kauf Jaelin,W,Final 1,16.3,16.1,15.4,15.6,15.2,-16.4,-15.2,47
3,6,Tomitaka Hinako,W,Final 1,15.6,15.8,15.2,15.8,15.4,-16.2,-14.8,46.8
4,4,Lemley Elizabeth,W,Final 1,15,15.6,14.6,15.3,15.4,-16.2,-14.5,45.2
5,12,Wilson Charlotte,W,Final 1,15.3,15.4,15.4,15,15.1,-15.7,-14.7,45.8
6,9,Schwinghammer Maia,W,Final 1,15.2,15.2,14.7,14.1,15.3,-16,-14.1,44.4
7,8,Carroll Avital,W,Final 1,14.6,16.1,14.7,15.3,14.6,-16.1,-14,45.2
8,11,Laffonte Perrine,W,Final 1,15.5,15.7,15.4,14.9,15.3,-15.1,-15.6,46.1
1,4,Lemley Elizabeth,W,Final 2,15.7,15.9,15.4,15.7,15.7,-16,-15.1,47.3
2,7,Kauf Jaelin,W,Final 2,16.3,16.1,15.2,15.6,15.5,-16.1,-15.3,47.3
3,11,Laffonte Perrine,W,Final 2,15.6,15.5,15.7,14.7,15.1,-15.7,-14.7,46.2
4,6,Tomitaka Hinako,W,Final 2,15.4,15.4,14.6,15.9,15.2,-15.9,-14.6,46
5,9,Schwinghammer Maia,W,Final 2,15.7,15.7,14.9,14.8,15.1,-15.8,-14.8,45.6
6,12,Wilson Charlotte,W,Final 2,15.1,15.4,14.6,14.1,14.1,-15.4,-13.5,44.4
7,8,Carroll Avital,W,Final 2,14.2,15.1,14,14.1,14.3,-15.1,-13.9,42.7
8,1,Antony Jakara,W,Final 2,9.8,9,8.1,9.1,11.2,-11.2,-8.1,27.9
1,19,Woods Cooper,M,Final 1,16.5,16.6,15.6,15.9,15.8,-16.6,-15.6,48.2
2,6,Kingsbury Mikael,M,Final 1,16.9,16.9,15.2,14.5,15.9,-17,-14.4,48
3,2,Graham Matt,M,Final 1,16,15.9,16,16,15.8,-16.1,-15.6,48
4,7,Wallberg Walter,M,Final 1,15.5,15.6,15,15.7,15.5,-15.7,-15,46.6
5,1,Horishima Ikuma,M,Final 1,16.5,16.4,15.7,15.7,16.1,-16.6,-15.5,48.3
6,3,Page Nick,M,Final 1,15.3,15.7,15.2,15.6,15.6,-16.1,-15.1,46.2
7,5,Viel Julien,M,Final 1,15.6,16.2,15.1,15.8,15.2,-16.2,-14.8,46.9
8,8,Harvey Jackson,M,Final 1,16.5,16.6,15.9,15.8,15.8,-16.7,-15.5,48.4
1,19,Woods Cooper,M,Final 2,16.2,16.2,16.3,15.3,16,-16.3,-15.3,48.4
2,6,Kingsbury Mikael,M,Final 2,16.6,16.7,15.7,14.8,15.6,-16.9,-14.8,47.7
3,1,Horishima Ikuma,M,Final 2,15.8,16.2,15.9,16.3,17.9,-18.2,-15.6,48.3
4,7,Wallberg Walter,M,Final 2,15.2,15.7,15.5,15.3,15.6,-15.8,-15.2,46.3
5,2,Graham Matt,M,Final 2,16.3,15.4,15.5,15.1,14.8,-16.3,-14.8,46
6,5,Viel Julien,M,Final 2,15.2,15,14.7,15.3,14.6,-15.5,-14.4,44.9
7,3,Page Nick,M,Final 2,14.6,14.2,13.2,13.8,13.5,-14.6,-12.9,41.8
8,8,Harvey Jackson,M,Final 2,15,14.9,14.6,14.7,14.5,-14.6,-14.9,44.2
