video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Frauen_Final_1_06,0,1,687.41,226.73,766.62,342.31,0.6953,722.43,249.59,0.9684,725.64,246.56,0.9385,719.65,246.24,0.9167,732.23,245.45,0.8087,716.41,245.1,0.6926,742.07,257.13,0.9918,710.18,258.02,0.9868,755.6,266.8,0.968,698.22,274.57,0.9429,759.24,267.04,0.9456,703.85,285.48,0.9147,733.13,291.14,0.9875,712.98,290.11,0.9837,732.29,307.33,0.9606,708.0,302.13,0.9521,724.33,336.65,0.8725,703.01,327.63,0.8605
Moguls_Frauen_Final_1_06,1,1,681.04,226.74,765.24,349.96,0.6449,722.75,248.38,0.9709,725.45,245.42,0.9249,719.36,245.46,0.935,730.52,244.36,0.7306,714.35,244.83,0.7632,738.11,256.86,0.9898,708.58,257.75,0.9908,749.22,269.13,0.9559,695.93,273.95,0.9627,748.59,272.18,0.9302,701.37,283.94,0.9391,730.29,291.73,0.9888,711.72,291.43,0.9891,728.78,313.44,0.9664,709.6,312.99,0.9692,716.96,337.68,0.9003,700.51,336.82,0.9064
Moguls_Frauen_Final_1_06,2,1,678.1,228.97,766.77,359.17,0.6492,720.44,252.16,0.9674,723.31,249.04,0.9232,717.44,249.07,0.9254,728.46,247.72,0.737,713.0,248.06,0.7274,737.55,260.35,0.9884,706.26,261.86,0.9876,752.45,273.35,0.9521,693.47,276.19,0.9498,747.7,284.0,0.925,698.31,284.49,0.9237,728.36,299.18,0.9855,708.9,299.22,0.9847,728.18,315.15,0.9585,707.78,316.4,0.959,716.04,342.2,0.8843,700.47,343.53,0.8859
Moguls_Frauen_Final_1_06,3,1,674.68,232.44,765.66,366.76,0.581,719.68,258.18,0.9674,722.41,255.01,0.9262,716.38,254.98,0.9256,727.65,253.01,0.7405,711.26,253.44,0.7232,735.73,264.74,0.9885,705.44,266.27,0.9863,748.11,277.85,0.9522,692.94,281.24,0.943,743.66,287.65,0.9226,693.65,288.3,0.9138,726.17,300.58,0.9852,707.23,300.21,0.9836,725.69,322.6,0.9579,705.49,321.81,0.9558,712.92,350.29,0.8774,696.44,348.24,0.875
Moguls_Frauen_Final_1_06,4,1,672.13,238.1,762.83,373.2,0.6719,719.72,261.69,0.9691,722.75,258.75,0.9307,716.5,258.66,0.9301,728.23,258.04,0.76,711.7,258.18,0.7418,734.7,271.12,0.989,705.9,272.07,0.9876,744.32,282.32,0.9525,691.53,285.55,0.9452,740.87,287.24,0.9215,691.84,290.97,0.9145,725.15,305.73,0.9844,707.45,305.24,0.983,721.62,333.02,0.9492,705.31,332.04,0.9471,710.38,356.33,0.8399,698.49,354.05,0.8375
Moguls_Frauen_Final_1_06,5,1,672.5,243.05,759.64,374.4,0.7638,719.73,268.14,0.9637,723.12,265.18,0.9331,717.0,264.85,0.9099,729.75,264.04,0.7932,713.53,263.55,0.6677,736.31,277.16,0.9882,707.94,275.49,0.9815,742.07,291.04,0.954,693.56,286.83,0.9196,733.3,297.52,0.9223,692.05,292.72,0.886,725.71,310.31,0.9799,707.87,308.5,0.9744,724.97,332.13,0.9383,706.11,328.58,0.9254,717.45,356.28,0.8208,701.91,351.16,0.8036
Moguls_Frauen_Final_1_06,6,1,674.19,248.31,753.28,367.72,0.7002,721.59,273.56,0.9717,725.16,270.86,0.9653,719.16,270.13,0.9243,731.36,270.26,0.8699,715.35,268.35,0.5893,738.29,281.86,0.9954,709.17,276.55,0.9957,744.08,302.62,0.9792,694.1,286.72,0.9673,734.79,315.35,0.9632,687.25,294.11,0.9467,728.29,309.36,0.9921,710.35,306.61,0.9922,729.09,322.49,0.9716,711.87,319.62,0.9656,725.58,345.48,0.9202,716.86,341.62,0.9061
Moguls_Frauen_Final_1_06,7,1,681.2,251.46,755.79,364.71,0.7121,725.11,276.11,0.9702,728.79,273.0,0.9673,722.0,272.42,0.9148,735.04,271.3,0.8824,717.38,269.84,0.54,742.48,281.9,0.995,712.02,278.23,0.9942,748.49,301.75,0.981,699.04,290.95,0.9561,731.76,307.82,0.967,696.1,296.07,0.9348,736.21,312.94,0.9886,717.14,311.04,0.9873,734.05,329.75,0.9481,717.28,327.6,0.9285,730.12,348.42,0.829,723.32,345.34,0.7866
Moguls_Frauen_Final_1_06,8,1,685.3,252.2,762.22,369.77,0.6137,728.75,275.56,0.967,732.11,272.73,0.9303,725.92,272.24,0.9219,737.66,271.16,0.7684,720.71,270.03,0.7131,745.64,283.08,0.9885,714.72,280.21,0.9862,757.01,298.81,0.9545,699.89,286.22,0.9434,744.44,304.81,0.9267,692.8,282.59,0.9184,741.42,316.86,0.9803,721.91,315.47,0.9781,744.62,338.31,0.9322,724.85,336.83,0.9291,740.49,356.41,0.7939,727.28,354.65,0.7946
Moguls_Frauen_Final_1_06,9,1,683.39,250.26,758.49,362.33,0.304,731.72,272.78,0.9639,735.26,269.47,0.9201,728.83,269.26,0.9277,741.37,267.44,0.7226,724.03,266.6,0.7384,749.89,279.77,0.9794,719.13,275.46,0.9855,762.53,293.38,0.919,699.58,276.57,0.9478,749.18,297.11,0.8862,681.76,272.89,0.9222,747.48,316.87,0.9606,728.35,314.77,0.9669,746.72,338.19,0.843,727.8,336.32,0.87,747.9,355.16,0.5848,734.59,353.67,0.6271
