video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_1 - 04,0,1,619.91,256.12,694.93,415.26,0.6493,649.55,277.51,0.8191,651.21,274.87,0.5509,647.28,275.11,0.6923,655.22,273.9,0.3856,644.37,274.5,0.5852,664.86,285.01,0.9691,637.94,286.27,0.9865,680.35,295.03,0.9193,626.94,304.53,0.9732,683.81,295.8,0.889,627.2,326.4,0.9504,660.51,324.67,0.9946,644.49,324.89,0.9965,655.64,357.14,0.9904,645.5,358.73,0.9941,645.82,389.3,0.9741,641.97,394.58,0.9813
Moguls_Männer_Final_1 - 04,1,1,619.49,256.95,693.1,413.03,0.6829,650.4,281.54,0.9136,652.31,278.81,0.7349,647.41,279.01,0.8431,656.4,276.62,0.4764,642.23,277.37,0.7026,664.35,285.25,0.98,636.6,288.91,0.991,679.23,291.13,0.9368,626.73,307.78,0.9779,685.0,292.28,0.9091,625.88,329.93,0.958,661.26,322.17,0.9942,644.2,323.27,0.9961,657.54,353.98,0.9868,642.64,355.75,0.9916,646.83,381.62,0.9613,636.96,385.81,0.9711
Moguls_Männer_Final_1 - 04,2,1,612.38,259.43,687.49,419.15,0.7903,646.09,277.04,0.2392,645.13,274.1,0.1413,646.45,273.65,0.08,641.13,276.46,0.5309,653.97,275.28,0.3327,635.4,291.69,0.9664,665.19,288.61,0.9475,625.74,312.07,0.9363,677.37,302.08,0.8804,621.64,330.1,0.8724,678.1,309.8,0.8149,642.76,331.72,0.9938,661.02,330.86,0.9918,641.2,367.69,0.9903,656.31,368.73,0.9882,630.62,399.94,0.9706,643.14,401.26,0.9682
Moguls_Männer_Final_1 - 04,3,1,610.7,264.77,684.87,422.14,0.8349,647.52,287.43,0.9111,649.39,284.48,0.7953,644.84,284.46,0.8166,654.12,283.33,0.6092,641.81,283.81,0.636,663.47,295.69,0.9833,638.58,297.56,0.9867,677.6,309.19,0.9464,628.0,316.07,0.9616,675.79,313.63,0.9162,619.98,331.91,0.9342,659.89,335.2,0.9943,644.64,335.25,0.995,658.32,368.75,0.9863,642.92,370.06,0.9886,643.96,401.05,0.9545,630.68,404.95,0.9601
Moguls_Männer_Final_1 - 04,4,1,615.05,273.19,676.78,401.06,0.7001,649.65,300.27,0.9359,652.27,297.01,0.8842,646.2,297.16,0.9067,657.09,293.54,0.5572,641.48,294.03,0.6847,664.51,299.94,0.9852,635.61,301.73,0.9939,676.55,313.95,0.938,627.46,319.39,0.9764,679.84,322.47,0.9164,617.24,332.76,0.9557,658.29,329.0,0.9898,640.73,329.72,0.9936,661.29,352.04,0.9678,644.87,352.6,0.9772,654.54,376.53,0.9123,642.21,377.33,0.9319
Moguls_Männer_Final_1 - 04,5,1,611.58,282.08,674.27,408.64,0.6042,644.63,302.5,0.8621,647.05,300.14,0.7745,643.45,299.89,0.5889,652.88,300.52,0.7172,643.47,299.94,0.3381,664.5,313.84,0.9891,638.64,312.93,0.9687,680.08,330.4,0.9788,623.93,327.19,0.913,671.83,332.9,0.9597,608.65,333.99,0.8872,659.37,353.78,0.9907,644.06,352.35,0.9841,650.45,381.8,0.9644,638.22,381.05,0.9417,649.36,400.54,0.8611,640.91,400.51,0.818
Moguls_Männer_Final_1 - 04,6,1,610.2,286.78,672.96,408.98,0.6105,647.26,308.02,0.9391,650.73,305.7,0.8939,645.68,305.15,0.806,658.17,304.66,0.7878,644.63,303.62,0.4862,666.99,315.79,0.9906,639.96,315.14,0.9796,681.37,331.07,0.974,621.69,325.7,0.9273,677.91,333.49,0.9518,602.27,322.85,0.8997,662.36,352.06,0.9894,646.07,351.61,0.9843,663.8,378.57,0.9647,647.86,379.91,0.9504,660.75,397.16,0.8767,649.4,401.11,0.8524
Moguls_Männer_Final_1 - 04,7,1,623.07,286.19,687.78,412.77,0.5453,651.76,304.37,0.3418,652.31,301.62,0.28,652.18,301.62,0.1645,652.62,300.21,0.7754,660.24,300.52,0.5272,650.0,312.39,0.9803,668.7,313.46,0.9767,641.33,328.19,0.9041,681.9,333.73,0.8607,642.66,333.33,0.7536,684.38,344.71,0.6865,653.38,353.18,0.9839,664.72,353.21,0.9826,652.87,382.88,0.9562,660.98,382.73,0.9488,654.45,406.62,0.8854,656.29,405.59,0.8736
Moguls_Männer_Final_1 - 04,9,1,634.19,277.82,690.04,386.25,0.6372,662.28,293.68,0.9066,665.39,291.41,0.8649,660.69,290.59,0.8366,669.99,291.38,0.6694,657.57,289.0,0.5719,675.03,302.47,0.9871,648.56,298.78,0.9896,682.03,321.25,0.9468,639.88,314.46,0.948,683.45,331.63,0.9063,641.19,324.31,0.903,664.99,331.84,0.9841,647.87,330.04,0.9859,668.04,347.7,0.933,646.45,345.82,0.9334,666.0,367.66,0.8349,646.39,365.17,0.8348
Moguls_Männer_Final_1 - 04,10,1,635.61,274.63,693.29,387.05,0.5517,664.39,297.48,0.8913,667.59,294.75,0.8463,662.1,294.05,0.8154,672.18,292.8,0.6306,657.78,290.7,0.5397,677.29,301.25,0.9849,648.91,298.14,0.986,683.87,321.24,0.9398,643.22,315.21,0.9263,684.68,335.04,0.8957,645.6,325.47,0.8736,667.36,329.63,0.9879,648.89,328.23,0.9883,671.54,350.03,0.9645,648.43,348.57,0.9621,668.71,374.64,0.9192,648.17,372.73,0.9151
Moguls_Männer_Final_1 - 04,11,1,629.08,274.19,700.74,415.27,0.4383,665.39,297.62,0.9329,669.07,295.5,0.877,663.77,294.57,0.8375,673.85,293.46,0.7031,659.28,290.92,0.5683,676.1,302.71,0.9868,648.96,299.18,0.9754,685.68,319.55,0.9572,636.4,310.69,0.8992,686.9,331.06,0.9209,635.66,315.38,0.8552,665.96,336.31,0.9929,648.56,335.27,0.9896,669.66,373.49,0.9887,651.17,371.52,0.9843,679.03,405.31,0.9724,663.44,402.87,0.967
Moguls_Männer_Final_1 - 04,12,1,635.47,275.43,699.99,402.62,0.6431,669.75,297.99,0.8068,672.13,295.59,0.6888,667.94,294.91,0.7155,675.39,294.96,0.4171,663.04,292.82,0.4837,678.6,304.48,0.9673,653.14,301.67,0.9692,687.24,322.01,0.8862,647.55,317.83,0.87,692.44,332.74,0.8412,652.57,324.49,0.8124,667.64,331.39,0.9861,651.46,330.22,0.9859,668.35,352.61,0.9807,649.37,351.53,0.979,670.36,378.33,0.9641,653.0,377.3,0.9621
Moguls_Männer_Final_1 - 04,13,1,634.28,280.12,705.08,422.48,0.6901,666.19,308.05,0.8944,669.34,305.56,0.8159,664.18,305.08,0.7513,674.33,303.2,0.6463,659.94,301.94,0.4809,678.29,312.25,0.9814,651.45,311.19,0.962,687.07,331.13,0.9516,645.51,328.74,0.8773,690.36,343.81,0.9183,656.85,335.23,0.8422,670.09,347.07,0.9876,652.84,347.2,0.9809,672.61,379.78,0.9753,657.18,380.42,0.9648,673.1,410.67,0.9329,662.61,411.01,0.9179
Moguls_Männer_Final_1 - 04,14,1,632.06,283.59,704.93,430.43,0.4318,662.89,308.22,0.5565,664.02,304.7,0.3286,662.79,305.25,0.4198,662.98,302.88,0.4676,666.52,303.8,0.5552,659.85,315.54,0.9286,671.1,314.87,0.9495,660.87,334.6,0.7874,683.37,333.85,0.8754,670.77,345.4,0.6814,691.5,347.28,0.7773,656.59,355.65,0.9681,663.03,355.37,0.9745,661.6,386.36,0.9492,665.49,386.99,0.9624,666.01,411.95,0.903,667.45,415.76,0.9196
