video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_2_03,0,1,491.44,231.82,574.56,400.61,0.8453,517.21,250.04,0.9654,520.69,246.75,0.9314,513.76,247.06,0.889,526.19,247.99,0.8125,508.68,248.63,0.636,531.33,267.14,0.996,503.87,268.12,0.9864,548.69,285.0,0.9844,497.28,291.53,0.9266,561.71,283.03,0.9652,502.29,311.75,0.8912,527.81,309.52,0.9972,510.34,311.02,0.9946,529.76,341.84,0.9936,511.43,345.7,0.9887,541.38,372.99,0.9773,518.05,378.31,0.9674
Moguls_Männer_Final_2_03,1,1,494.44,235.32,570.3,388.84,0.8607,517.03,256.04,0.9723,520.3,252.76,0.9383,513.58,253.23,0.9176,525.51,252.54,0.8067,507.96,253.42,0.7046,530.42,268.32,0.9959,502.84,268.74,0.9904,546.44,285.61,0.9832,494.57,285.67,0.9509,561.95,290.33,0.9644,500.41,292.78,0.9231,528.18,306.49,0.9968,510.49,307.81,0.9949,529.54,337.56,0.9918,510.27,340.22,0.9878,540.56,368.03,0.9697,517.67,370.1,0.9613
Moguls_Männer_Final_2_03,2,1,496.28,241.41,566.5,382.35,0.7772,516.05,263.28,0.9594,519.79,260.01,0.9443,513.02,259.8,0.9175,525.67,259.79,0.7588,508.69,259.07,0.6033,531.04,273.41,0.9926,502.35,273.9,0.9916,546.71,287.16,0.9715,495.51,290.96,0.9489,564.99,298.46,0.9549,499.89,300.64,0.9228,526.04,314.9,0.9947,508.39,315.36,0.9943,525.84,340.59,0.986,509.52,340.84,0.9827,524.16,364.32,0.9603,508.52,364.24,0.9543
Moguls_Männer_Final_2_03,3,1,488.35,245.04,565.59,399.22,0.775,518.6,265.25,0.9761,522.12,262.17,0.9316,514.88,261.86,0.9402,527.86,262.31,0.7446,509.74,261.59,0.7689,533.0,279.5,0.9928,504.42,277.58,0.9925,545.97,292.11,0.9687,491.94,293.86,0.9689,559.38,287.28,0.9432,500.16,301.03,0.9446,525.25,329.27,0.993,506.76,328.16,0.9927,519.47,366.63,0.972,500.42,366.11,0.9724,510.54,392.67,0.8843,490.34,392.34,0.8846
Moguls_Männer_Final_2_03,4,1,483.36,246.43,562.02,402.65,0.6551,517.72,265.84,0.9664,521.23,262.81,0.9228,514.22,262.61,0.9278,527.17,262.95,0.7413,509.34,262.75,0.7424,533.78,276.73,0.9875,504.8,277.89,0.9888,547.5,287.47,0.9494,491.57,293.75,0.9567,555.55,282.25,0.9232,490.56,295.03,0.9297,527.15,322.87,0.9894,508.54,322.58,0.9899,518.14,361.5,0.9548,496.65,362.09,0.9579,507.98,390.49,0.8194,486.92,391.51,0.8247
Moguls_Männer_Final_2_03,5,1,471.48,246.71,549.4,401.87,0.7324,518.72,266.26,0.9732,521.79,262.78,0.9539,514.72,262.99,0.9481,527.31,262.51,0.7527,509.52,262.94,0.7166,534.55,277.63,0.9929,506.19,275.9,0.9969,539.55,298.77,0.9617,494.13,290.83,0.9825,535.65,313.52,0.9456,484.19,299.22,0.9675,526.33,318.84,0.9951,508.12,317.26,0.9968,520.6,350.17,0.9842,500.36,348.53,0.9874,507.81,379.08,0.9502,488.12,377.32,0.9583
Moguls_Männer_Final_2_03,6,1,471.65,247.32,548.3,397.08,0.8283,519.94,271.29,0.9644,522.85,267.98,0.9072,516.29,267.61,0.9263,528.68,266.38,0.6955,511.02,266.36,0.7567,536.36,278.09,0.9884,506.47,281.23,0.992,551.63,289.71,0.9537,490.92,301.4,0.9718,549.99,286.36,0.9303,478.79,310.88,0.9499,526.35,318.6,0.9937,507.39,318.53,0.9947,523.86,351.02,0.9789,499.78,352.58,0.9832,500.63,379.37,0.9188,478.07,383.7,0.9292
Moguls_Männer_Final_2_03,7,1,474.74,252.25,548.26,391.62,0.8098,521.71,278.94,0.9631,524.52,275.84,0.889,518.02,275.47,0.929,530.2,273.5,0.6538,511.99,273.42,0.7883,537.03,283.94,0.9886,506.81,286.43,0.9941,550.52,293.31,0.9515,489.78,303.83,0.98,552.06,294.84,0.9242,477.36,316.2,0.9603,528.27,318.88,0.9947,509.63,318.74,0.9961,527.03,348.38,0.9853,506.84,348.37,0.9899,505.37,371.57,0.951,490.6,373.52,0.9616
Moguls_Männer_Final_2_03,8,1,475.49,257.95,545.7,385.6,0.8259,523.3,281.91,0.9669,526.8,279.13,0.903,520.12,278.35,0.9384,532.82,277.58,0.6657,514.45,276.13,0.7928,537.24,288.53,0.987,507.73,286.36,0.9933,550.27,299.55,0.9451,486.41,295.64,0.9779,552.43,301.2,0.9185,470.11,300.67,0.9594,526.59,321.1,0.9928,507.86,319.91,0.9948,532.97,339.07,0.9825,508.91,339.96,0.9882,517.74,363.55,0.9492,496.23,368.89,0.9608
Moguls_Männer_Final_2_03,9,1,489.22,259.26,556.62,382.66,0.5523,524.57,282.68,0.9273,527.85,279.32,0.904,521.24,279.15,0.8493,533.26,276.67,0.7194,516.55,276.21,0.5083,540.42,285.62,0.9857,510.48,285.86,0.9831,551.64,301.84,0.94,504.8,303.53,0.8955,549.14,310.48,0.9032,507.07,312.87,0.8479,533.55,319.98,0.9825,514.67,319.97,0.9811,531.5,346.06,0.942,513.73,346.04,0.9293,524.28,369.21,0.848,511.74,369.02,0.8267
Moguls_Männer_Final_2_03,10,1,491.79,258.7,567.67,400.59,0.4024,526.42,282.12,0.917,529.56,278.37,0.9044,522.6,278.59,0.7741,535.45,275.39,0.7575,517.12,276.12,0.3024,543.76,286.82,0.9829,512.33,288.23,0.9617,554.58,305.7,0.9535,506.35,308.96,0.7986,556.41,323.05,0.9234,512.27,325.49,0.7658,538.49,332.44,0.9808,518.89,332.92,0.9706,535.85,366.09,0.9395,519.36,366.36,0.8954,536.23,393.0,0.8135,522.33,392.74,0.7346
Moguls_Männer_Final_2_03,11,1,501.71,256.71,566.69,377.62,0.5198,528.76,276.1,0.9482,531.97,272.89,0.9359,525.46,272.89,0.8635,537.59,271.48,0.8094,520.81,271.46,0.4615,544.56,282.36,0.9911,515.62,282.27,0.9839,554.86,301.93,0.9644,511.12,301.05,0.8831,561.81,320.01,0.9362,518.41,314.1,0.8417,538.88,312.52,0.9871,520.61,312.4,0.9827,538.09,332.14,0.9684,517.89,331.85,0.9516,538.56,357.68,0.9242,520.66,356.98,0.896
Moguls_Männer_Final_2_03,12,1,506.06,256.39,569.29,373.47,0.5549,530.43,278.38,0.9539,533.88,275.06,0.9441,527.08,274.97,0.8734,539.88,273.17,0.8172,522.18,272.86,0.4527,546.85,283.69,0.9922,516.32,283.1,0.9859,557.59,304.59,0.9703,510.69,302.65,0.8962,566.11,323.02,0.9459,517.5,315.49,0.858,541.43,315.01,0.9896,522.31,314.74,0.986,539.16,334.76,0.9747,518.36,334.27,0.9602,543.29,362.89,0.9353,525.13,361.88,0.9088
Moguls_Männer_Final_2_03,13,1,494.21,258.1,572.1,401.2,0.7799,533.23,282.5,0.9714,537.45,279.26,0.9319,530.18,279.31,0.9315,543.3,277.67,0.754,523.76,276.84,0.7437,545.48,292.21,0.9923,514.71,286.96,0.9904,557.9,310.45,0.9652,497.7,290.08,0.9525,565.64,326.64,0.938,495.51,291.26,0.925,538.21,327.22,0.9946,519.33,326.59,0.9936,540.01,354.57,0.9902,523.65,354.71,0.9892,555.01,390.37,0.9734,542.54,390.05,0.9726
