Rank,Bib,Name,Gender,Competition,J1,J2,J3,J4,J5,"Canceled
max","Canceled
min",Total
1,1,Antony Jakara,W,Final 1,16,16.3,15.9,16.4,15.6,-16.8,-15.3,48.1
2,7,Kauf Jaelin,W,Final 1,16.3,16.1,15.4,15.6,15.2,-16.4,-15.2,47
3,6,Tomitaka Hinako,W,Final 1,15.6,15.8,15.2,15.8,15.4,-16.2,-14.8,46.8
4,4,Lemley Elizabeth,W,Final 1,15,15.6,14.6,15.3,15.4,-16.2,-14.5,45.2
5,12,Wilson Charlotte,W,Final 1,15.3,15.4,15.4,15,15.1,-15.7,-14.7,45.8
6,9,Schwinghammer Maia,W,Final 1,15.2,15.2,14.7,14.1,15.3,-16,-14.1,44.4
7,8,Carroll Avital,W,Final 1,14.6,16.1,14.7,15.3,14.6,-16.1,-14,45.2
8,11,Laffonte Perrine,W,Final 1,15.5,15.7,15.4,14.9,15.3,-15.1,-15.6,46.1
9,3,Giaccio Olivia,W,Final 1,14,14.4,13.3,13.8,14.3,-14.8,-13.1,41.9
10,2,Johnson Tess,W,Final 1,15.4,15.3,14.8,15.2,15.3,-15.8,-14.8,45.4
11,10,Fujiki Hina,W,Final 1,14.2,14.4,14,14.9,14,-14.9,-13.4,43.2
12,17,Desmarais Laurianne,W,Final 1,15.1,15.2,14.7,14.7,15.1,-14.9,-14.9,45
13,20,Yanagimoto Rino,W,Final 1,14.7,13.5,13.6,14.9,14.1,-15,-13.5,42.3
14,14,Galysheva Yuliya,W,Final 1,13.7,14.9,13.5,13.2,13.3,-14.9,-12.7,41
15,5,Gorodko Anastassiya,W,Final 1,13.9,14.6,12.9,13.9,13.6,-14.6,-12.9,41.4
16,23,Koehler Ashley,W,Final 1,13.8,14.3,14.6,13.8,14.2,-14.6,-13.5,42.6
17,18,Nakao Haruka,W,Final 1,15.3,14.7,14.1,14.7,14.7,-15.3,-14.1,44.1
18,15,Amrenova Ayaulym,W,Final 1,12.8,14.5,13.7,13.1,13.2,-14.5,-12.6,40.2
19,13,Linton Jessica,W,Final 1,14.1,12,12.7,12.8,13,-14.1,-12,38.5
20,16,Cabrol Camille,W,Final 1,11.2,12.1,12.3,11.8,12.2,-12.7,-11.1,35.8
1,4,Lemley Elizabeth,W,Final 2,15.7,15.9,15.4,15.7,15.7,-16,-15.1,47.3
2,7,Kauf Jaelin,W,Final 2,16.3,16.1,15.2,15.6,15.5,-16.1,-15.3,47.3
3,11,Laffonte Perrine,W,Final 2,15.6,15.5,15.7,14.7,15.1,-15.7,-14.7,46.2
4,6,Tomitaka Hinako,W,Final 2,15.4,15.4,14.6,15.9,15.2,-15.9,-14.6,46
5,9,Schwinghammer Maia,W,Final 2,15.7,15.7,14.9,14.8,15.1,-15.8,-14.8,45.6
6,12,Wilson Charlotte,W,Final 2,15.1,15.4,14.6,14.1,14.1,-15.4,-13.5,44.4
7,8,Carroll Avital,W,Final 2,14.2,15.1,14,14.1,14.3,-15.1,-13.9,42.7
8,1,Antony Jakara,W,Final 2,9.8,9,8.1,9.1,11.2,-11.2,-8.1,27.9
1,19,Woods Cooper,M,Final 1,16.5,16.6,15.6,15.9,15.8,-16.6,-15.6,48.2
2,6,Kingsbury Mikael,M,Final 1,16.9,16.9,15.2,14.5,15.9,-17,-14.4,48
3,2,Graham Matt,M,Final 1,16,15.9,16,16,15.8,-16.1,-15.6,48
